    °„C	        No	    CH0	            CH1	            CH2	            CH3
28.222	103	0.1149782011	1538.7243949607	0.4766030596	-0.0715768380
28.290	104	0.1150055000	1534.8309895295	0.4764380739	-0.0721966071
28.355	105	0.1150318453	1530.9751350269	0.4762686775	-0.0728133960
28.428	106	0.1150610516	1527.1499471158	0.4761044071	-0.0734282776
28.488	107	0.1150853702	1523.3560516450	0.4759400175	-0.0740416094
28.550	108	0.1151100466	1519.5915710683	0.4757780120	-0.0746456429
28.611	109	0.1151347229	1515.8621380247	0.4756132648	-0.0752623126
28.673	110	0.1151595184	1512.1596164799	0.4754526899	-0.0758688495
28.742	111	0.1151872942	1508.4896390730	0.4752915189	-0.0764689491
28.796	112	0.1152089903	1504.8497024089	0.4751298711	-0.0770680950
28.864	113	0.1152359316	1501.2373030923	0.4749692962	-0.0776628302
28.926	114	0.1152610848	1497.6605771578	0.4748112246	-0.0782566117
28.989	115	0.1152862379	1494.1107627219	0.4746548220	-0.0788302469
29.055	116	0.1153127024	1490.5897373313	0.4744980618	-0.0794172334
29.104	117	0.1153322527	1487.1006302297	0.4743417784	-0.0800056505
29.169	118	0.1153584787	1483.6409380222	0.4741872832	-0.0805882264
29.223	119	0.1153802940	1480.2087831622	0.4740312382	-0.0811710406
29.281	120	0.1154033014	1476.8072948937	0.4738794848	-0.0817266751
29.341	121	0.1154273817	1473.4370990656	0.4737276121	-0.0822840978
29.404	122	0.1154527733	1470.0900596434	0.4735769316	-0.0828527262
29.456	123	0.1154736349	1466.7736868127	0.4734254166	-0.0834459116
29.516	124	0.1154978344	1463.4873547248	0.4732746168	-0.0840319445
29.580	125	0.1155234644	1460.2235531940	0.4731271549	-0.0846307328
29.630	126	0.1155434916	1456.9872890107	0.4729780241	-0.0851349881
29.691	127	0.1155680487	1453.7835689654	0.4728303237	-0.0856573633
29.740	128	0.1155875990	1450.6055087212	0.4726831003	-0.0862137131
29.796	129	0.1156102488	1447.4562375221	0.4725398107	-0.0867711357
29.853	130	0.1156328985	1444.3288710313	0.4723954482	-0.0873111538
29.908	131	0.1156549523	1441.2340486785	0.4722519202	-0.0878514104
29.957	132	0.1156747410	1438.1648861268	0.4721087499	-0.0883895211
30.012	133	0.1156967947	1435.1201316786	0.4719673676	-0.0889345460
30.064	134	0.1157178948	1432.1029145779	0.4718275351	-0.0894804054
30.123	135	0.1157412598	1429.1101055807	0.4716874642	-0.0900287682
30.173	136	0.1157616446	1426.1429563846	0.4715473933	-0.0905587727
30.230	137	0.1157842944	1423.2052220824	0.4714094681	-0.0910793597
30.274	138	0.1158020565	1420.2831340005	0.4712721390	-0.0916054303
30.332	139	0.1158254216	1417.3967193006	0.4711368365	-0.0921478326
30.388	140	0.1158475945	1414.5309576113	0.4710004610	-0.0926852282
30.446	141	0.1158710787	1411.6845972350	0.4708658737	-0.0932034310
30.486	142	0.1158871720	1408.8638966598	0.4707329554	-0.0937212761
30.543	143	0.1159097025	1406.0751143739	0.4705982489	-0.0942345914
30.596	144	0.1159312794	1403.3019783081	0.4704684300	-0.0947485027
30.640	145	0.1159486840	1400.5557537410	0.4703376574	-0.0952535924
