    °„C	        No	    CH0	            CH1	            CH2	            CH3
38.405	278	0.1190604042	1333.9203795147	0.4676146786	-0.3092247432
38.431	279	0.1190710139	1332.5109680004	0.4675529282	-0.3091587013
38.462	280	0.1190831732	1331.1046857300	0.4674846213	-0.3090895599
38.487	281	0.1190934252	1329.6996551573	0.4674171488	-0.3090222066
38.515	282	0.1191043925	1328.2933728870	0.4673519413	-0.3089534228
38.541	283	0.1191148829	1326.8902198607	0.4672825615	-0.3088875001
38.577	284	0.1191293072	1325.4939511713	0.4672208111	-0.3088226502
38.602	285	0.1191392016	1324.0945532378	0.4671526234	-0.3087593501
38.628	286	0.1191495728	1322.6982845484	0.4670890848	-0.3086918776
38.663	287	0.1191635203	1321.3038934054	0.4670218508	-0.3086294120
38.683	288	0.1191715073	1319.9120056577	0.4669505636	-0.3085640853
38.719	289	0.1191861701	1318.5238730028	0.4668864290	-0.3084949439
38.747	290	0.1191974949	1317.1369920455	0.4668203871	-0.3084304517
38.775	291	0.1192084622	1315.7538661810	0.4667554180	-0.3083639329
38.802	292	0.1192194294	1314.3694886189	0.4666846077	-0.3082949107
38.833	293	0.1192318272	1312.9913695449	0.4666214267	-0.3082281535
38.871	294	0.1192468476	1311.6107470757	0.4665545503	-0.3081673567
38.890	295	0.1192543578	1310.2363830946	0.4664871971	-0.3081152623
38.921	296	0.1192671132	1308.8626449622	0.4664184133	-0.3080517237
38.951	297	0.1192789149	1307.4895326787	0.4663540403	-0.3079993908
38.983	298	0.1192915511	1306.1233047320	0.4662863294	-0.3079377596
39.011	299	0.1193027567	1304.7508182973	0.4662210027	-0.3078586047
39.039	300	0.1193139624	1303.3902229899	0.4661541263	-0.3078044836
39.058	301	0.1193217110	1302.0221174969	0.4660877267	-0.3077471440
39.098	302	0.1193376851	1300.6608963407	0.4660229961	-0.3076788370
39.124	303	0.1193480563	1299.3009268821	0.4659561197	-0.3076156561
39.157	304	0.1193614077	1297.9503451556	0.4658915082	-0.3075523560
39.190	305	0.1193744015	1296.5928790923	0.4658223668	-0.3074842875
